# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "4" "-p" "--countReadPairs" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "/home/xi/tmp/plant_m6A_data/ref/ath_TAIR10.gtf" "-o" "/home/xi/tmp/plant_m6A/results/phase1/expr/GSE174573_gene_counts.txt" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570256.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570257.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570258.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570259.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570260.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570261.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570262.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570263.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570264.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570265.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570266.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570267.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570268.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570269.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570270.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570271.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570272.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570273.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570274.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570275.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570276.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570277.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570278.sorted.bam" "/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570279.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570256.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570257.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570258.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570259.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570260.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570261.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570262.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570263.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570264.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570265.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570266.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570267.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570268.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570269.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570270.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570271.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570272.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570273.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570274.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570275.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570276.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570277.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570278.sorted.bam	/home/xi/tmp/plant_m6A_data/GSE174573/bam/SRR14570279.sorted.bam
AT1G12040	1	4069992	4072681	+	2690	268	1005	454	377	307	1338	23	145	101	270	33	192	158	295	142	407	172	851	462	2635	134	768	441	1029
AT1G64190	1	23825328	23827136	-	1809	199	348	729	362	689	701	107	102	319	238	100	122	448	414	269	329	515	280	745	590	420	399	529	232
AT1G53635	1	20019287	20019835	-	549	0	0	1	2	3	4	0	5	0	1	0	0	1	0	0	0	3	6	1	0	0	0	0	1
AT1G21070	1;1;1;1;1	7375869;7376589;7377085;7377381;7377672	7376507;7376750;7377285;7377565;7378227	-;-;-;-;-	1743	84	96	172	206	203	288	49	13	85	34	22	14	99	140	62	47	138	103	331	218	169	165	200	232
AT1G01320	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	121067;121067;121124;121493;121493;121493;123579;123579;123579;123785;123785;123785;123992;123992;123992;124211;124211;124211;124499;124499;124499;124714;124714;124714;124921;124921;124921;125134;125134;125134;125329;125329;125329;125742;125742;125742;125936;125936;125936;126076;126076;126076;126686;126686;126686;126935;126935;126935;127532;127532;127532;127651;127651;127651;127868;127868;127868;128028;128028;128028;128479;128479;128479;128968;128968;128968;129853;129853;129853;130039;130039;130039;130372;130372;130372	121406;121406;121406;123495;123501;123501;123669;123669;123669;123897;123897;123897;124123;124123;124123;124394;124394;124394;124632;124632;124632;124818;124818;124818;125022;125046;125022;125226;125226;125226;125655;125655;125655;125843;125843;125843;125998;125998;125998;126589;126589;126589;126840;126840;126840;127453;127453;127453;127573;127573;127573;127782;127782;127782;127935;127935;127935;128312;128312;128312;128551;128551;128551;129060;129060;129060;129914;129914;129914;130149;130149;130149;130577;130570;130573	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6079	2260	4498	7464	6000	9930	12496	1319	2015	3288	3726	1171	1829	5359	6274	3570	5384	6622	9371	9624	10441	9759	9876	8195	7417
AT1G69310	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	26054275;26054275;26054581;26054775;26056040;26056117;26056117;26056117;26056569;26056569;26056569;26056569;26057554;26057554;26057554;26057554	26054928;26054522;26054928;26054928;26056481;26056469;26056481;26056481;26056712;26056712;26056712;26056712;26058164;26058105;26058383;26058383	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2070	93	300	226	464	248	797	54	283	145	401	57	172	275	308	187	212	242	590	235	560	208	653	248	481
AT1G69450	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	26106790;26106790;26107120;26107385;26107385;26107385;26107700;26107700;26108054;26108054;26108054;26108417;26108417;26108417;26108799;26108799;26108799;26109089;26109089;26109089;26109430;26109430;26109430;26109573;26109573;26109573;26110171;26110171	26107290;26107290;26107290;26107618;26107618;26107975;26107975;26107975;26108330;26108330;26108330;26108715;26108715;26108715;26108969;26108969;26108969;26109298;26109298;26109298;26109493;26109493;26109493;26110051;26110148;26110051;26110357;26110357	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2876	125	318	512	1056	414	776	42	54	158	308	41	59	142	136	84	124	196	91	420	594	402	429	435	581
AT1G26150	1;1;1;1;1;1;1;1;1;1;1;1;1;1	9039628;9040057;9040242;9040296;9040539;9040539;9040705;9040705;9040898;9040898;9041060;9041060;9041736;9041736	9039984;9040218;9040443;9040443;9040615;9040615;9040775;9040775;9040984;9040984;9041470;9041470;9043288;9043855	-;-;-;-;-;-;-;-;-;-;-;-;-;-	3487	479	1899	1899	4856	2517	9184	137	1261	484	1735	130	887	718	1240	485	1194	751	3647	1412	4226	1113	4994	1523	4505
AT1G14530	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	4970858;4971035;4971393;4971648;4971648;4971854;4971998;4971998;4972323;4972323;4972456;4972456;4972702;4972702;4972849;4972849;4973034;4973034;4973166;4973166;4973433;4973433	4971273;4971512;4971512;4971725;4971907;4971907;4972061;4972061;4972368;4972368;4972528;4972528;4972773;4972773;4972941;4972941;4973086;4973086;4973256;4973256;4973726;4973726	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1701	21	92	103	672	133	499	10	20	34	83	10	11	39	52	13	10	31	51	83	238	78	136	74	444
AT1G09840	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	3195719;3195719;3195719;3195719;3195719;3195824;3195824;3195824;3195827;3195827;3195827;3196515;3196515;3196515;3196515;3196515;3196515;3196515;3196515;3196515;3196515;3196515;3196700;3196700;3196700;3196700;3196700;3196700;3196700;3196700;3196700;3196700;3196700;3197231;3197231;3197231;3197231;3197231;3197231;3197231;3197231;3197231;3197231;3197231;3197596;3197596;3197596;3197596;3197596;3197596;3197596;3197596;3197596;3197596;3197596;3197743;3197743;3197743;3197743;3197743;3197743;3197743;3197743;3197743;3197743;3197743;3197952;3197952;3197952;3197952;3197952;3197952;3197952;3197952;3197952;3197952;3197952;3198443;3198443;3198443;3198443;3198443;3198443;3198443;3198443;3198443;3198443;3198443;3198656;3198656;3198656;3198656;3198656;3198656;3198656;3198656;3198656;3198656;3198656;3199014;3199014;3199014;3199014;3199014;3199014;3199014;3199014;3199014;3199014;3199161;3199161;3199161;3199161;3199161;3199161;3199161;3199161;3199161;3199161;3199381;3199381;3199381;3199381;3199381;3199381;3199381;3199381;3199381;3199381;3199710;3199710;3199714;3200036;3200036;3200036;3200036;3200036;3200036;3200183;3200183;3200183;3200183	3196202;3196202;3196202;3196202;3196202;3196202;3196202;3196202;3196202;3196202;3196202;3196617;3196617;3196617;3196617;3196617;3196617;3196617;3196617;3196617;3196617;3196617;3196783;3196783;3196783;3196783;3196783;3196783;3196783;3196783;3196783;3196783;3196783;3197326;3197326;3197326;3197326;3197326;3197326;3197326;3197326;3197326;3197326;3197326;3197646;3197646;3197646;3197646;3197646;3197646;3197646;3197646;3197646;3197646;3197646;3197883;3197883;3197883;3197883;3197883;3197883;3197883;3197883;3197883;3197883;3197883;3198008;3198008;3198008;3198008;3198008;3198008;3198008;3198008;3198008;3198008;3198008;3198517;3198517;3198517;3198517;3198517;3198517;3198517;3198517;3198517;3198517;3198517;3198928;3198972;3198928;3198928;3198928;3198928;3198928;3198928;3198928;3198928;3198928;3199073;3199073;3199073;3199073;3199073;3199073;3199073;3199073;3199073;3199073;3199253;3199253;3199253;3199253;3199253;3199253;3199253;3199253;3199253;3199253;3200058;3199694;3199623;3199619;3199694;3199623;3199619;3199623;3199623;3199623;3200034;3199992;3199736;3200403;3200103;3200403;3200103;3200103;3200099;3200403;3200291;3200403;3200254	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2584	229	424	963	2432	902	2192	105	121	263	487	99	135	350	445	226	502	451	576	1041	1039	697	977	657	1331
AT1G63980	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	23740493;23740562;23740812;23740812;23741194;23741194;23741365;23741365;23741492;23741498;23741857;23741857;23742041;23742041;23742277;23742277;23742664;23742664;23742989;23742989	23740723;23740723;23740896;23740896;23741270;23741270;23741401;23741401;23741652;23741652;23741953;23741953;23742201;23742201;23742567;23742567;23742786;23742786;23743302;23743302	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1577	1037	1500	2698	2435	2927	4692	771	671	1474	1635	376	261	1373	2846	829	1497	2230	2855	2959	4123	1744	2480	2636	2487
AT1G47960	1;1;1;1;1;1	17681157;17682124;17682254;17682443;17683319;17683319	17682026;17682185;17682727;17682727;17683719;17683629	-;-;-;-;-;-	1807	98	162	296	171	364	311	49	55	116	92	29	44	82	125	48	127	60	88	251	311	327	364	243	184
AT1G63110	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	23404688;23404780;23404821;23405113;23405113;23405238;23405238;23405238;23405413;23405413;23405413;23405638;23405638;23405658;23405878;23405878;23405878;23406093;23406093;23406093;23406248;23406248;23406248;23406670;23406670;23406670;23406830;23406830;23406830;23407104;23407104;23407104;23407236;23407236;23407236;23407416;23407416;23407416;23407665;23407665;23407665	23405023;23405023;23405160;23405160;23405160;23405298;23405298;23405298;23405445;23405445;23405445;23405762;23405762;23405762;23406012;23406012;23406012;23406169;23406169;23406169;23406504;23406504;23406504;23406726;23406726;23406726;23406998;23406998;23406998;23407161;23407161;23407161;23407321;23407321;23407321;23407472;23407472;23407472;23408067;23408052;23408119	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2043	68	167	245	400	245	278	47	38	111	92	31	61	163	74	95	98	103	90	261	216	236	298	180	536
AT1G65486	1;1;1;1;1;1;1;1	24349399;24349502;24349510;24349632;24349964;24349964;24349964;24349964	24349631;24349631;24349631;24349870;24350180;24350524;24350235;24350524	+;+;+;+;+;+;+;+	1033	5	21	58	24	57	59	2	1	3	3	2	0	48	26	16	47	19	28	50	44	52	43	26	14
AT1G64870	1	24102917	24103831	+	915	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G29220	1;1;1;1;1;1;1;1;1;1;1;1;1	10210520;10210648;10210842;10210842;10211064;10211064;10211242;10211242;10211606;10211606;10211904;10212134;10212134	10210744;10210744;10210963;10210963;10211158;10211158;10211373;10211373;10211807;10211807;10211939;10212722;10212722	-;-;-;-;-;-;-;-;-;-;-;-;-	1401	150	254	576	677	513	928	85	178	161	254	36	58	216	307	117	145	187	536	692	485	385	554	437	993
AT1G78400	1;1;1	29498194;29498587;29499527	29498511;29499414;29499682	-;-;-	1302	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78635	1;1	29579715;29580378	29580301;29580644	-;-	854	0	0	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G79550	1;1;1;1;1;1;1;1;1;1;1;1;1	29924023;29924023;29924701;29924701;29924968;29924968;29925374;29925374;29925723;29925723;29926101;29926101;29926462	29924541;29924541;29924859;29924859;29925285;29925285;29925634;29925634;29925800;29925800;29926484;29926326;29926636	-;-;-;-;-;-;-;-;-;-;-;-;-	1871	799	827	2737	1183	2638	1321	412	98	1017	493	329	212	2113	1642	944	910	1600	776	3075	1261	2463	1471	1819	1020
AT1G72920	1;1	27437899;27438505	27438410;27439209	+;+	1217	45	53	170	95	161	234	108	47	162	106	42	31	148	212	87	65	309	326	498	376	644	477	608	520
AT1G77640	1	29178705	29179877	+	1173	25	34	37	28	61	59	1	0	3	1	0	0	2	0	0	0	1	2	13	21	5	8	22	2
AT1G10840	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	3607631;3607631;3608023;3608023;3608361;3608361;3608514;3608514;3608706;3608706;3608914;3608914;3609048;3609048;3609455;3609455;3609608;3609608;3609811;3609811;3610094;3610094;3610290	3607942;3607942;3608175;3608175;3608428;3608428;3608615;3608615;3608777;3608777;3608962;3608962;3609181;3609181;3609521;3609521;3609711;3609711;3609927;3609927;3610173;3610386;3610616	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1701	248	305	922	865	1199	715	141	66	406	237	157	55	591	483	229	191	407	242	815	501	716	755	625	617
AT1G01790	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	284350;284460;284722;286452;286452;286717;286717;286997;286997;287221;287221;287395;287395;287642;287642;287789;287789;288087;288087;288401;288401;288593;288593;288882;288882;289237;289237;289539;289539;289718;289718;290028;290028;290170;290170;290439;290439;290578;290578;290747;290747	284635;286351;286351;286623;286623;286807;286807;287133;287133;287280;287280;287514;287514;287710;287710;287854;287854;288176;288176;288505;288505;288721;288721;289091;289091;289386;289386;289592;289592;289776;289776;290094;290094;290346;290346;290495;290495;290652;290652;291201;291203	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4347	555	669	2590	1706	3034	2440	342	110	942	604	286	229	1017	1156	718	711	1613	976	3025	1957	2665	2450	2409	3317
AT1G79650	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	29971989;29971989;29972108;29972108;29972615;29972615;29972615;29972615;29972822;29972822;29972822;29972822;29973031;29973031;29973031;29973361;29973361;29973361;29973361;29973509;29973509;29973509;29973509;29973711;29973711;29973711;29973711;29973974;29974116;29974116;29974116;29974116;29974280;29974280;29974280;29974280;29974392;29974392;29974392;29974392;29974651;29974651;29974651;29974651;29975067;29975067;29975067;29975067	29972522;29972522;29972522;29972522;29972699;29972699;29972699;29972699;29972931;29972931;29972919;29972931;29973078;29973078;29973078;29973426;29973426;29973426;29973426;29973634;29973634;29973634;29973634;29973888;29973888;29973888;29973888;29974045;29974186;29974186;29974186;29974186;29974309;29974327;29974327;29974327;29974430;29974430;29974430;29974430;29974812;29974812;29974812;29974812;29975359;29975359;29975271;29975281	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1832	86	330	426	2529	452	1437	42	119	93	292	31	92	131	400	72	140	139	277	355	1221	248	1163	235	5000
AT1G16350	1;1;1;1;1	5590756;5591469;5592171;5592444;5592801	5591353;5592064;5592350;5592701;5593098	+;+;+;+;+	1930	408	576	1317	927	1241	1877	356	337	817	838	242	320	1336	1722	746	1011	1545	2229	1806	1688	1156	942	1256	1132
AT1G68510	1;1	25706882;25707493	25707222;25708503	+;+	1352	1	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
AT1G23770	1	8405214	8406266	-	1053	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0
AT1G04350	1;1;1	1164910;1165873;1166284	1165801;1166194;1167135	+;+;+	2066	167	548	520	676	611	1401	97	120	284	289	69	99	390	398	228	329	422	443	623	726	765	726	517	853
AT1G16220	1;1;1;1;1	5548262;5549098;5549543;5549746;5550044	5548907;5549466;5549660;5549969;5550770	+;+;+;+;+	2084	22	30	109	74	97	109	14	2	35	20	9	0	25	36	30	31	49	28	132	51	74	41	105	35
AT1G32700	1;1;1;1;1;1;1	11827359;11827467;11827872;11828269;11828269;11829214;11829214	11827590;11828063;11828063;11828484;11828484;11829933;11829759	+;+;+;+;+;+;+	1641	380	1029	898	1899	931	2667	161	151	338	545	83	105	288	290	191	268	236	385	587	1163	551	862	643	980
AT1G67040	1;1;1;1;1;1;1;1;1;1	25019105;25019105;25019779;25019779;25019988;25019988;25021612;25021612;25021763;25021763	25019703;25019709;25019908;25019908;25021517;25021517;25021673;25021673;25022704;25022542	-;-;-;-;-;-;-;-;-;-	3269	43	59	147	83	121	161	22	6	48	30	16	6	62	94	29	37	46	49	136	125	99	61	71	61
AT1G54610	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	20393664;20393792;20393792;20394585;20394585;20394585;20395201;20395201;20395201;20395401;20395401;20395401;20395741;20395741;20395741;20396152;20396152;20396152;20396534;20396534;20396534;20397087;20397087	20394261;20394261;20394261;20394702;20394702;20394702;20395301;20395301;20395301;20395628;20395628;20395628;20396058;20396058;20396058;20396436;20396436;20396436;20396954;20397222;20396994;20397295;20397186	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2410	597	1057	1747	2191	1820	2972	293	453	624	985	235	252	786	1338	430	492	805	1658	1666	1588	1034	1421	1211	1600
AT1G50950	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	18880112;18880172;18880776;18880776;18881011;18881011;18881255;18881255;18881560;18881560;18881851;18881851;18882250;18882250;18882399;18882399;18882562;18882577;18882767;18882767;18882973;18882973;18883227;18883227;18883523;18883523;18883799;18883799;18883966;18883966	18880505;18880505;18880866;18880866;18881105;18881105;18881312;18881312;18881747;18881747;18881908;18881908;18882290;18882290;18882473;18882473;18882633;18882633;18882833;18882833;18883116;18883116;18883448;18883448;18883684;18883684;18883876;18883876;18884326;18884255	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2106	21	37	57	106	61	78	9	3	37	42	5	37	28	48	19	9	26	36	57	81	35	63	61	149
AT1G78200	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	29419466;29420183;29420183;29420183;29420183;29420281;29420477;29420477;29420477;29420592;29420592;29420592;29420915;29420915;29420915;29420915;29420915;29421282;29421282;29421282;29421282;29421282;29421513;29421513;29421513;29421513;29421513	29419981;29420518;29420380;29420380;29420828;29420380;29420828;29420518;29420518;29420828;29420828;29420828;29421200;29421200;29421200;29421200;29421200;29421436;29421436;29421436;29421436;29421436;29421922;29421866;29421866;29421866;29421866	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2013	110	167	401	451	504	603	64	36	143	96	51	38	218	241	114	136	204	124	394	336	459	359	433	426
AT1G56553	1;1	21189705;21189923	21189809;21190192	+;+	375	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G26680	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	9219460;9219460;9219463;9219463;9219463;9219463;9219713;9219713;9219713;9219713;9219713;9220092;9220092;9220092;9220092;9220092;9220092;9220294;9220294;9220294;9220294;9220294;9220294;9220740;9220740;9220740;9220740;9221209;9221209;9221505;9221505;9221505;9221505;9222007;9222007;9222007;9222007;9222007;9222007;9222205;9222205;9222205;9222205;9222205;9222205;9222657;9222657;9222657;9222657;9222657;9222657;9223228;9223228;9223228;9223228	9220019;9219632;9219632;9219632;9219632;9219632;9220019;9220019;9220019;9220019;9220019;9220207;9220207;9220207;9220207;9220207;9220207;9220635;9220635;9220635;9220635;9220635;9220635;9221127;9221127;9221127;9221127;9221327;9221327;9221925;9221925;9221925;9221925;9222125;9222125;9222125;9222125;9222125;9222125;9222537;9222537;9222537;9222537;9222537;9222537;9223649;9223154;9223154;9223649;9223154;9223154;9223748;9223795;9223795;9223749	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3537	5	3	12	4	29	26	2	0	5	0	0	4	3	3	0	15	3	8	16	13	7	10	9	6
AT1G10130	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	3310930;3311372;3311527;3311966;3312399;3312921;3313228;3313604;3313764;3314106;3314347;3314744;3315074;3315546;3315895;3316382;3316928;3317338;3317799;3318155;3318368;3318545;3318846;3319092;3319650;3319904;3320129;3320567;3320783;3320985;3321212;3321407;3321697;3321877	3311171;3311422;3311560;3311983;3312535;3312995;3313273;3313663;3313844;3314191;3314448;3314797;3315175;3315604;3316039;3316489;3317080;3317442;3317995;3318263;3318466;3318690;3318903;3319184;3319700;3320035;3320230;3320621;3320868;3321133;3321317;3321460;3321742;3322269	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3534	236	834	948	3975	940	2700	83	196	212	900	100	222	343	755	237	1710	414	1164	836	3149	683	1935	731	5322
AT1G76900	1;1;1;1;1;1;1;1;1;1;1;1;1;1	28881539;28881601;28882040;28882718;28882718;28883197;28883197;28883197;28883365;28883365;28883365;28883591;28883591;28883591	28882000;28883100;28882089;28883100;28883100;28883284;28883284;28883284;28883497;28883497;28883497;28884609;28884545;28885023	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3216	91	293	521	438	473	852	36	33	168	120	31	32	199	219	121	178	191	155	427	477	377	330	338	190
AT1G20830	1;1;1;1;1;1;1;1;1	7242896;7243032;7243103;7243754;7243754;7244095;7244095;7244578;7244578	7242980;7243384;7243384;7243926;7243926;7244482;7244482;7244978;7244978	+;+;+;+;+;+;+;+;+	1400	49	136	136	940	187	517	16	25	64	75	16	54	95	192	67	83	96	180	147	334	122	317	135	411
AT1G73700	1;1;1;1;1;1;1;1	27717380;27717700;27717879;27718087;27718416;27718562;27718725;27719394	27717613;27717786;27717997;27718325;27718472;27718648;27719269;27719741	-;-;-;-;-;-;-;-	1716	2	8	17	25	27	20	3	0	4	4	2	0	5	1	4	0	6	3	40	17	16	15	12	23
AT1G52565	1;1	19579839;19580364	19580302;19580977	-;-	1078	11	29	39	15	43	76	10	23	14	21	2	2	31	35	22	36	28	42	64	52	90	102	81	58
AT1G70600	1	26620821	26621779	-	959	721	1274	2635	2421	2731	3260	675	464	1218	534	349	238	3683	2998	1336	1446	1991	4788	4022	2354	3870	3294	1646	3535
